,items,common_ingredients,cluster_id
0,"['citrus fruit', 'semi-finished bread', 'margarine', 'ready soups']","['fruits', 'bread', 'margarine']",3
1,"['tropical fruit', 'yogurt', 'coffee']","['fruits', 'yogurt']",3
2,['whole milk'],['milk'],3
3,"['pip fruit', 'yogurt', 'cream cheese', 'meat spreads']","['fruits', 'yogurt', 'cheese', 'meat']",3
4,"['other vegetables', 'whole milk', 'condensed milk', 'long life bakery product']","['vegetables', 'milk', 'milk']",3
5,"['whole milk', 'butter', 'yogurt', 'rice', 'abrasive cleaner']","['milk', 'butter', 'yogurt', 'rice']",3
6,['rolls/buns'],['bread'],3
7,"['other vegetables', 'UHT-milk', 'rolls/buns', 'bottled beer', 'liquor (appetizer)']","['vegetables', 'milk', 'bread', 'beer']",3
9,"['whole milk', 'cereals']",['milk'],3
10,"['tropical fruit', 'other vegetables', 'white bread', 'bottled water', 'chocolate']","['fruits', 'vegetables', 'bread', 'water', 'chocolate']",3
11,"['citrus fruit', 'tropical fruit', 'whole milk', 'butter', 'curd', 'yogurt', 'flour', 'bottled water', 'dishes']","['fruits', 'fruits', 'milk', 'butter', 'yogurt', 'flour', 'water']",1
12,['beef'],['beef'],3
13,"['frankfurter', 'rolls/buns', 'soda']","['meat', 'bread', 'soda']",3
14,"['chicken', 'tropical fruit']","['chicken', 'fruits']",3
15,"['butter', 'sugar', 'fruit/vegetable juice', 'newspapers']","['butter', 'sugar', 'vegetables']",6
16,['fruit/vegetable juice'],['vegetables'],3
17,['packaged fruit/vegetables'],['vegetables'],3
18,['chocolate'],['chocolate'],3
20,['other vegetables'],['vegetables'],3
21,"['butter milk', 'pastry']",['butter'],3
22,['whole milk'],['milk'],3
23,"['tropical fruit', 'cream cheese', 'processed cheese', 'detergent', 'newspapers']","['fruits', 'cheese', 'cheese']",3
24,"['tropical fruit', 'root vegetables', 'other vegetables', 'frozen dessert', 'rolls/buns', 'flour', 'sweet spreads', 'salty snack', 'waffles', 'candy', 'bathroom cleaner']","['fruits', 'vegetables', 'vegetables', 'bread', 'flour']",3
25,"['bottled water', 'canned beer']","['water', 'beer']",3
26,['yogurt'],['yogurt'],3
27,"['sausage', 'rolls/buns', 'soda', 'chocolate']","['meat', 'bread', 'soda', 'chocolate']",3
28,['other vegetables'],['vegetables'],3
29,"['brown bread', 'soda', 'fruit/vegetable juice', 'canned beer', 'newspapers', 'shopping bags']","['bread', 'soda', 'vegetables', 'beer']",3
30,"['yogurt', 'beverages', 'bottled water', 'specialty bar']","['yogurt', 'water']",3
31,"['hamburger meat', 'other vegetables', 'rolls/buns', 'spices', 'bottled water', 'hygiene articles', 'napkins']","['meat', 'vegetables', 'bread', 'herbs', 'water']",5
32,"['root vegetables', 'other vegetables', 'whole milk', 'beverages', 'sugar']","['vegetables', 'vegetables', 'milk', 'sugar']",6
33,"['pork', 'berries', 'other vegetables', 'whole milk', 'whipped/sour cream', 'artif. sweetener', 'soda', 'abrasive cleaner']","['pork', 'fruits', 'vegetables', 'milk', 'cream', 'soda']",3
34,"['beef', 'grapes', 'detergent']","['beef', 'vegetables']",3
35,"['pastry', 'soda']",['soda'],3
36,['fruit/vegetable juice'],['vegetables'],3
37,['canned beer'],['beer'],3
38,"['root vegetables', 'other vegetables', 'whole milk', 'dessert']","['vegetables', 'vegetables', 'milk']",3
39,"['citrus fruit', 'zwieback', 'newspapers']",['fruits'],3
40,"['sausage', 'rolls/buns', 'soda', 'canned beer', 'specialty bar', 'shopping bags']","['meat', 'bread', 'soda', 'beer']",3
41,"['tropical fruit', 'root vegetables', 'whole milk', 'yogurt', 'domestic eggs', 'brown bread', 'pastry', 'sugar', 'cereals', 'coffee', 'soda', 'waffles', 'candy']","['fruits', 'vegetables', 'milk', 'yogurt', 'eggs', 'bread', 'sugar', 'soda']",6
42,"['berries', 'yogurt']","['fruits', 'yogurt']",3
43,['canned beer'],['beer'],3
44,"['butter milk', 'yogurt', 'cream cheese', 'spread cheese', 'rolls/buns', 'bottled water', 'soda', 'newspapers']","['butter', 'yogurt', 'cheese', 'cheese', 'bread', 'water', 'soda']",3
46,"['pastry', 'bottled water']",['water'],3
47,['rolls/buns'],['bread'],3
49,"['root vegetables', 'other vegetables', 'butter', 'curd', 'whipped/sour cream', 'UHT-milk', 'hard cheese', 'rolls/buns', 'bottled water', 'long life bakery product']","['vegetables', 'vegetables', 'butter', 'cream', 'milk', 'cheese', 'bread', 'water']",3
50,"['sausage', 'rolls/buns', 'cat food', 'newspapers']","['meat', 'bread']",3
51,['canned beer'],['beer'],3
52,"['ham', 'grapes', 'other vegetables', 'whole milk']","['ham', 'vegetables', 'vegetables', 'milk']",3
53,"['turkey', 'tropical fruit', 'other vegetables', 'curd', 'domestic eggs', 'brown bread', 'semi-finished bread', 'margarine', 'baking powder', 'fruit/vegetable juice']","['meat', 'fruits', 'vegetables', 'eggs', 'bread', 'bread', 'margarine', 'vegetables']",3
54,"['whole milk', 'yogurt', 'processed cheese', 'pickled vegetables', 'soda']","['milk', 'yogurt', 'cheese', 'vegetables', 'soda']",3
55,"['whole milk', 'curd', 'yogurt', 'pastry']","['milk', 'yogurt']",3
56,"['packaged fruit/vegetables', 'brown bread', 'canned beer']","['vegetables', 'bread', 'beer']",3
57,"['rolls/buns', 'oil', 'bottled water', 'chewing gum', 'chocolate marshmallow', 'hygiene articles', 'napkins']","['bread', 'oil', 'water', 'chocolate']",3
58,"['ham', 'beef', 'whipped/sour cream', 'ice cream', 'rolls/buns', 'cat food']","['ham', 'beef', 'cream', 'bread']",3
59,"['rolls/buns', 'pastry', 'sugar']","['bread', 'sugar']",6
60,"['other vegetables', 'whole milk', 'frozen vegetables', 'canned fish', 'salty snack', 'seasonal products', 'detergent']","['vegetables', 'milk', 'vegetables', 'fish']",3
61,"['sausage', 'pastry']",['meat'],3
62,"['sausage', 'beef', 'whole milk']","['meat', 'beef', 'milk']",3
63,"['frankfurter', 'tropical fruit', 'rolls/buns', 'brown bread', 'sugar']","['meat', 'fruits', 'bread', 'bread', 'sugar']",6
64,"['rolls/buns', 'pastry', 'soda']","['bread', 'soda']",3
65,['whole milk'],['milk'],3
67,"['red/blush wine', 'newspapers']",['wine'],3
68,"['sausage', 'whole milk', 'curd']","['meat', 'milk']",3
69,"['tropical fruit', 'pip fruit', 'berries', 'whole milk', 'frozen potato products', 'rolls/buns', 'pickled vegetables', 'chocolate']","['fruits', 'fruits', 'fruits', 'milk', 'bread', 'vegetables', 'chocolate']",3
70,['red/blush wine'],['wine'],3
71,"['whole milk', 'butter', 'margarine', 'specialty fat', 'specialty chocolate', 'candles', 'flower (seeds)']","['milk', 'butter', 'margarine', 'chocolate']",3
72,"['frankfurter', 'citrus fruit', 'whole milk', 'domestic eggs', 'oil', 'sparkling wine', 'specialty chocolate', 'newspapers']","['meat', 'fruits', 'milk', 'eggs', 'oil', 'wine', 'chocolate']",3
73,"['whole milk', 'meat spreads', 'soda']","['milk', 'meat', 'soda']",3
75,"['other vegetables', 'whole milk', 'rolls/buns', 'sugar']","['vegetables', 'milk', 'bread', 'sugar']",6
76,"['citrus fruit', 'whole milk', 'curd', 'butter milk', 'pastry']","['fruits', 'milk', 'butter']",6
77,"['flour', 'salt', 'bottled water', 'fruit/vegetable juice', 'bottled beer']","['flour', 'salt', 'water', 'vegetables', 'beer']",1
78,"['sugar', 'bottled water', 'soda', 'bottled beer']","['sugar', 'water', 'soda', 'beer']",6
80,['chocolate'],['chocolate'],3
81,"['root vegetables', 'whole milk', 'frozen vegetables', 'domestic eggs', 'rolls/buns', 'oil', 'margarine', 'canned vegetables', 'fruit/vegetable juice', 'bathroom cleaner']","['vegetables', 'milk', 'vegetables', 'eggs', 'bread', 'oil', 'margarine', 'vegetables', 'vegetables']",3
82,"['root vegetables', 'onions', 'hard cheese', 'frozen vegetables']","['vegetables', 'vegetables', 'cheese', 'vegetables']",3
83,"['herbs', 'condensed milk', 'frozen vegetables', 'salt', 'oil', 'white wine', 'candles']","['herbs', 'milk', 'vegetables', 'salt', 'oil', 'wine']",2
84,['bottled water'],['water'],3
85,"['sausage', 'root vegetables', 'onions', 'yogurt', 'rolls/buns', 'brandy', 'detergent']","['meat', 'vegetables', 'vegetables', 'yogurt', 'bread', 'brandy']",3
